karsilastirma,n,r,ort_fark,RMSD
theta: Standart->EM-IRT,4925,0.968,-0.0,0.196
theta: Standart->IRTree(ACC),4925,0.966,0.0,0.204
theta: EM-IRT->IRTree(ACC),4925,0.982,0.0,0.145
